,tweet_user,tweet_text,tweet_id,timestamp
59,@CNN,Here's what we know about Thursday's #Barcelona attack -- the worst on Spanish soil since the 2004 Madrid bombings http://cnn.it/2vOTLoo pic.twitter.com/ERRA4ZxWsL,898491924658741249,3:29 AM - 18 Aug 2017
60,@CNN,Shares in European airlines and tour operators slumped on Friday after a spate of terror attacks rocked Spain http://cnn.it/2vOaN61 pic.twitter.com/ATsliDcPVx,898490685225086976,3:24 AM - 18 Aug 2017
61,@CNN,Top Indian tech CEO resigns after months of tensions between the company's leadership and its founders http://cnn.it/2w7YxzJ pic.twitter.com/4M6ZfQjkcb,898487669058969600,3:12 AM - 18 Aug 2017
62,@CNN,A minute's silence is held in #Barcelona's Plaça de Catalunya in memory of the victims of Thursday's terror attack http://cnn.it/2uWxzYb pic.twitter.com/KTElnexcFA,898487577799512064,3:11 AM - 18 Aug 2017
63,@arwaCNN,"Sign reads ""today I sing for the voices your tried to silence"" ... crowds chats ""we are not afraid"" ""we won't forget"" #barcelonapic.twitter.com/0PgVXfPNTx",898486449263190016,3:07 AM - 18 Aug 2017
64,@CNN,"In #Barcelona, members of the public light candles on Las Ramblas, where 13 people died in Thursday's terror attack: http://cnn.it/2w83j05 pic.twitter.com/1PNrZHsgjE",898484962290257920,3:01 AM - 18 Aug 2017
65,@CNN,Witnesses describe the scene as a van rammed into a crowd of people in a popular area of #Barcelona http://cnn.it/2uWBhki pic.twitter.com/jeGUVHaa9B,898484800083951621,3:00 AM - 18 Aug 2017
66,@CNN,The Eiffel Tower in Paris goes dark in honor of the victims of the #Barcelona attack http://cnn.it/2w8diCS pic.twitter.com/NgOfXB9CKW,898482157080817664,2:50 AM - 18 Aug 2017
67,@CNN,"Wide-ranging anti-terror operation underway in Spain on Friday, after a van attack in #Barcelona killed 13 people http://cnn.it/2wmj9E9 pic.twitter.com/LHWTI1AvAY",898480397595574277,2:43 AM - 18 Aug 2017
68,@CNN,"Only days after a mudslide killed hundreds of people, threat of a new landslide looms in Sierra Leone, official says http://cnn.it/2w7YbJm pic.twitter.com/tpAmjdj4uc",898475963956080641,2:25 AM - 18 Aug 2017
69,@CNN,Anti-terror operation under way in Spain after police killed five men wearing fake suicide belts in #Cambrils:http://cnn.it/2w82Mv4 ,898469536780791808,2:00 AM - 18 Aug 2017
70,@CNN,"Some US cities are removing Confederate statues, while others are keeping them. Here's a state-by-state breakdown http://cnn.it/2wlYdgr pic.twitter.com/xyqp8Iwkhu",898467076133629952,1:50 AM - 18 Aug 2017
71,@CNN,Spain's King Felipe VI will take part in a minute of silence to honor the victims of the #Barcelona attack on Friday http://cnn.it/2wlWp7l pic.twitter.com/TEbWgYR899,898465068303749121,1:42 AM - 18 Aug 2017
72,@CNN,Shares in European airlines and tour operators slumped on Friday after a spate of terror attacks rocked Spain http://cnn.it/2w8lbYK pic.twitter.com/BIS8m6Zhgg,898460350974234624,1:23 AM - 18 Aug 2017
73,@CNN,The Eclipse of the Century may also turn into the Science Experiments of the Century http://cnn.it/2vNOvRW pic.twitter.com/NC0uYIEpYx,898457968609337344,1:14 AM - 18 Aug 2017
74,@CNN,Here's what we know about Thursday's #Barcelona attack -- the worst on Spanish soil since the 2004 Madrid bombings http://cnn.it/2wlQD5w pic.twitter.com/IkyVLtL1Az,898456983937970176,1:10 AM - 18 Aug 2017
75,@CNN,"Donald Trump and Melania Trump each use Twitter, but the first lady's account is very different than the President's http://cnn.it/2uVhmm5 pic.twitter.com/jA3l1nnEZc",898454687640203264,1:01 AM - 18 Aug 2017
76,@CNN,"A third suspect has been arrested in connection with Thursday’s attacks in #Barcelona and #Cambrils, police sayhttp://cnn.it/2uWh1iJ ",898452464025731073,12:52 AM - 18 Aug 2017
77,@CNN,"After a van attack killed 13 people in #Barcelona, police kill 5 suspected terrorists in #Cambrils. Updates here: http://cnn.it/2w7GXMc pic.twitter.com/3K1frgniH8",898450044348547073,12:42 AM - 18 Aug 2017
78,@CNN,"The ghostwriter of ""The Art of the Deal"" thinks President Donald Trump will eventually call it quits http://cnn.it/2wl9aiv pic.twitter.com/tgBNcHnZA2",898447164300337152,12:31 AM - 18 Aug 2017
79,@CNN,Spanish police kill 5 suspected terrorists in #Cambrils following deadly #Barcelona van attack  http://cnn.it/2wlIMFh pic.twitter.com/Zmq0pQwaDB,898445722609041408,12:25 AM - 18 Aug 2017
80,@CNN,"Using emoticons in work emails make you look incompetent, a study finds http://cnn.it/2wV0cGv pic.twitter.com/tikPid1Sc6",898444874491379713,12:22 AM - 18 Aug 2017
81,@CNN,Some alums are pressing Lehigh University to rescind an honorary degree it granted to Donald Trump http://cnn.it/2vNfT2q pic.twitter.com/tCFRMUklcl,898443119300968448,12:15 AM - 18 Aug 2017
82,@CNN,"The victims in the #Barcelona van attack come from at least 24 countries, the Catalonia government sayshttp://cnn.it/2vNTyBQ ",898441428367327234,12:08 AM - 18 Aug 2017
83,@CNN,Father and son 9/11 first responders die of cancer just months apart http://cnn.it/2wl95LJ pic.twitter.com/y6wLyES4Jl,898439584391888900,12:01 AM - 18 Aug 2017
84,@CNN,Collinson: Sharp words from GOP senators and James Murdoch were indication of the damage Trump inflicted on himself http://cnn.it/2w7wTTr pic.twitter.com/Fdq6djnxa1,898436842277683200,11:50 PM - 17 Aug 2017
85,@CNN,"26 French nationals injured in the #Barcelona attack. Of the 26, at least 11 seriously hurt, French minister says http://cnn.it/2wVLqPK pic.twitter.com/SX1VFiIFcK",898434044198703105,11:39 PM - 17 Aug 2017
86,@CNN,Barack Obama declining to engage Donald Trump reflects an ex-president's balancing act http://cnn.it/2wkBtgO pic.twitter.com/0oZCh9NgHw,898432034334429185,11:31 PM - 17 Aug 2017
87,@CNN,Ford agrees to pay up to $10.1M to settle investigation into harassment of women and black employees at 2 IL plants http://cnn.it/2uVgfCJ pic.twitter.com/MrQVZfCfaT,898430786038149122,11:26 PM - 17 Aug 2017
88,@CNN,Spain's King Felipe VI will take part in a minute of silence to honor the victims of the #Barcelona attack on Friday http://cnn.it/2wlUVd6 pic.twitter.com/8pktR6eBAX,898427998763835392,11:15 PM - 17 Aug 2017
89,@CNN,Witnesses describe the scene as a van rammed into a crowd of people in a popular area of #Barcelona http://cnn.it/2wVeOpp pic.twitter.com/92tRcHEmEY,898425547235053569,11:05 PM - 17 Aug 2017
90,@CNN,"6 in 10 people who approve of President Trump say they'll never, ever, ever stop approving, according to a new poll http://cnn.it/2uNCCOm pic.twitter.com/I4WblVlivq",898424493625847809,11:01 PM - 17 Aug 2017
91,@CNN,"Hours after a van attack killed at least 13 in #Barcelona, another attack occurred in the Spanish town of #Cambrils http://cnn.it/2vNSCxb pic.twitter.com/40Km4qbLC7",898418752374554624,10:38 PM - 17 Aug 2017
92,@CNN,The Eiffel Tower in Paris goes dark in honor of the victims of the #Barcelona attack http://cnn.it/2w732up pic.twitter.com/PCYBnoDyD0,898416971066220545,10:31 PM - 17 Aug 2017
93,@CNN,"It appears that Obi-Wan Kenobi may be getting his own movie in the ""Star Wars"" galaxy http://cnn.it/2vMWpuJ pic.twitter.com/k569Od8EFR",898409392814432256,10:01 PM - 17 Aug 2017
94,@CNN,Trump's war on regulations comes with some tradeoffs http://cnn.it/2w7ft9I pic.twitter.com/aBlQbzCr8Y,898405616749756417,9:46 PM - 17 Aug 2017
95,@CNN,"Three of the most prominent magazines are reacting to Trump's controversies with bold, pointed art on their covers http://cnn.it/2wl4Dwm pic.twitter.com/U6926SDwBZ",898401838646546432,9:31 PM - 17 Aug 2017
96,@CNN,Authorities work under assumption #Cambrils incident and #Alcanar house explosion are linked to #Barcelona attack http://cnn.it/2wlzKrP pic.twitter.com/uluADrndjI,898400067383566336,9:24 PM - 17 Aug 2017
97,@CNN,"About 41,000 students who took out private loans to go to Corinthian College will be eligible for debt relief http://cnn.it/2wVpHY7 pic.twitter.com/wi5dM4DDrX",898398075219173378,9:16 PM - 17 Aug 2017
98,@CNN,"A Vietnam War vet took lots of photos across Asia in the 70s. Today, he's trying to find the strangers in his images http://cnn.it/2wllcs7 pic.twitter.com/tYPziHANnK",898396054789341185,9:08 PM - 17 Aug 2017
99,@CNN,Three Australians and one Hong Konger among injured in the #Barcelona van attack http://cnn.it/2uW6Jz6 pic.twitter.com/umUxPnDsKM,898394049609990144,9:00 PM - 17 Aug 2017
100,@CNN,The US Secret Service is investigating comments made online by a Missouri state lawmaker http://cnn.it/2vNQfL3 pic.twitter.com/pwSM6QnQgK,898392269669232640,8:53 PM - 17 Aug 2017
101,@CNN,A voting machine company exposed 1.8 million Chicago voter records online http://cnn.it/2w6Xf8b pic.twitter.com/5Efrylk2MR,898390506727772160,8:46 PM - 17 Aug 2017
102,@CNN,Here's what we know so far about the #Barcelona attack and a second possible terror attack in #Cambrils http://cnn.it/2wV1MYS pic.twitter.com/crLfVXAHr0,898389919424446465,8:43 PM - 17 Aug 2017
103,@CNN,"Children splashing in the sea. Young men and women smoking hookah. This could be anywhere, but it's Syria http://cnn.it/2uVXaR5 pic.twitter.com/6S2CldYURg",898386878428323841,8:31 PM - 17 Aug 2017
104,@CNN,"Donald Trump and Melania Trump each use Twitter, but the first lady's account is very different than the President's http://cnn.it/2wUDxtP pic.twitter.com/OxuqdhWKSU",898382958536658944,8:16 PM - 17 Aug 2017
105,@CNN,"The ghostwriter of ""The Art of the Deal"" thinks President Donald Trump will eventually call it quits http://cnn.it/2wVonVs pic.twitter.com/xehFGxxqQv",898379198926131200,8:01 PM - 17 Aug 2017
106,@CNN,CBS poll: Most Americans disapprove of President Trump's Charlottesville response http://cnn.it/2wlspby pic.twitter.com/0bASr2XZRO,898375425080119296,7:46 PM - 17 Aug 2017
107,@CNN,"A fifth terrorist in Cambrils, who was injured, has now died, according to Catalan policehttp://cnn.it/2wkZ2WW ",898369323269488641,7:21 PM - 17 Aug 2017
108,@CNN,"James Murdoch, 21st Century Fox CEO and son of Rupert Murdoch, has denounced Trump's reaction to Charlottesvillehttp://cnn.it/2uVCZSZ ",898367863223988224,7:16 PM - 17 Aug 2017
109,@CNN,"6 civilians were injured, 2 in serious condition, during the Cambrils incident, emergency officials in Catalonia say http://cnn.it/2uVFQvw pic.twitter.com/g1mZTV1Ve5",898367637176168448,7:15 PM - 17 Aug 2017
110,@CNN,President Trump responds to the #Barcelona attack by spreading a debunked rumor about Gen. Pershing http://cnn.it/2vNxJSL pic.twitter.com/JOU0T57UWi,898361136915021825,6:49 PM - 17 Aug 2017
